"","section","subsection","title","abstract","url","byline","item_type","updated_date","created_date","published_date","material_type_facet","kicker","multimedia.url","multimedia.format","multimedia.height","multimedia.width","multimedia.type","multimedia.subtype","multimedia.caption","multimedia.copyright","multimedia.url.1","multimedia.format.1","multimedia.height.1","multimedia.width.1","multimedia.type.1","multimedia.subtype.1","multimedia.caption.1","multimedia.copyright.1","multimedia.url.2","multimedia.format.2","multimedia.height.2","multimedia.width.2","multimedia.type.2","multimedia.subtype.2","multimedia.caption.2","multimedia.copyright.2","multimedia.url.3","multimedia.format.3","multimedia.height.3","multimedia.width.3","multimedia.type.3","multimedia.subtype.3","multimedia.caption.3","multimedia.copyright.3","multimedia.url.4","multimedia.format.4","multimedia.height.4","multimedia.width.4","multimedia.type.4","multimedia.subtype.4","multimedia.caption.4","multimedia.copyright.4","short_url","stringsAsFactor","des_facet","per_facet","des_facet1","des_facet2","des_facet3","des_facet4","org_facet1","org_facet2","per_facet1","per_facet2","geo_facet","geo_facet1","geo_facet2","org_facet","per_facet3","per_facet4","per_facet5","per_facet6","per_facet7","des_facet5","des_facet6","des_facet7","des_facet8","geo_facet3","geo_facet4","geo_facet5","org_facet3","des_facet9","des_facet10","des_facet11","des_facet12","org_facet4","org_facet5","org_facet6","org_facet7","per_facet8","per_facet9","per_facet10","per_facet11","geo_facet6"
"295","Well","Family","During Labor, Lie Down","Many doctors recommend that women in labor sit upright or walk to speed things along. But the best bet may be to lie on your side.","https://www.nytimes.com/2017/10/20/well/family/during-labor-lie-down.html","By NICHOLAS BAKALAR","Article","2017-10-20T13:49:43-04:00","2017-10-20T13:49:43-04:00","2017-10-20T13:49:43-04:00","","","https://static01.nyt.com/images/2016/09/15/well/well_pog_parenting/well_pog_parenting-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","","","https://static01.nyt.com/images/2016/09/15/well/well_pog_parenting/well_pog_parenting-thumbLarge.jpg","thumbLarge","150","150","image","photo","","","https://static01.nyt.com/images/2016/09/15/well/well_pog_parenting/well_pog_parenting-articleInline-v2.png","Normal","190","190","image","photo","","","https://static01.nyt.com/images/2016/09/15/well/well_pog_parenting/well_pog_parenting-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","","","https://static01.nyt.com/images/2016/09/15/well/well_pog_parenting/well_pog_parenting-superJumbo-v2.png","superJumbo","600","600","image","photo","","","https://nyti.ms/2zpkdFu",FALSE,"Pregnancy and Childbirth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","Health","","The Long War on Polio, as Recalled by Its Generals","“Coffee With Polio Experts” videos may be amateurish, but they are full of insights explaining why polio eradication has been such a struggle.","https://www.nytimes.com/2017/10/20/health/polio-eradication-videos.html","By DONALD G. McNEIL Jr.","Article","2017-10-20T12:51:18-04:00","2017-10-20T12:48:25-04:00","2017-10-20T12:48:25-04:00","","","https://static01.nyt.com/images/2017/10/24/science/24SCI-GLOBAL/24SCI-GLOBAL-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Dr. Naveed Sadozai, left, describes efforts to vaccinate sheepherders in Afghanistan in a recent “Coffee With Polio Experts” video posted to YouTube.","","https://static01.nyt.com/images/2017/10/24/science/24SCI-GLOBAL/24SCI-GLOBAL-thumbLarge.jpg","thumbLarge","150","150","image","photo","Dr. Naveed Sadozai, left, describes efforts to vaccinate sheepherders in Afghanistan in a recent “Coffee With Polio Experts” video posted to YouTube.","","https://static01.nyt.com/images/2017/10/24/science/24SCI-GLOBAL/24SCI-GLOBAL-articleInline.jpg","Normal","107","190","image","photo","Dr. Naveed Sadozai, left, describes efforts to vaccinate sheepherders in Afghanistan in a recent “Coffee With Polio Experts” video posted to YouTube.","","https://static01.nyt.com/images/2017/10/24/science/24SCI-GLOBAL/24SCI-GLOBAL-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Dr. Naveed Sadozai, left, describes efforts to vaccinate sheepherders in Afghanistan in a recent “Coffee With Polio Experts” video posted to YouTube.","","https://static01.nyt.com/images/2017/10/24/science/24SCI-GLOBAL/24SCI-GLOBAL-superJumbo.jpg","superJumbo","1152","2048","image","photo","Dr. Naveed Sadozai, left, describes efforts to vaccinate sheepherders in Afghanistan in a recent “Coffee With Polio Experts” video posted to YouTube.","","https://nyti.ms/2zocIi8",FALSE,NA,NA,"Poliomyelitis","Vaccination and Immunization",NA,NA,NA,NA,NA,NA,NA,NA,NA,"World Health Organization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Well","Live","Why Are Hearing Aids So Expensive?","Experts don’t know exactly why hearing aids are still so costly, but under a new law, the cost should soon be coming down.","https://www.nytimes.com/2017/10/20/well/live/why-are-hearing-aids-so-expensive.html","By KAREN WEINTRAUB","Article","2017-10-20T06:00:01-04:00","2017-10-20T06:00:00-04:00","2017-10-20T06:00:00-04:00","","","https://static01.nyt.com/images/2017/04/19/well/well_pog_ask/well_ask-thumbStandard-v2.jpg","Standard Thumbnail","75","75","image","photo","","","https://static01.nyt.com/images/2017/04/19/well/well_pog_ask/well_ask-thumbLarge-v2.jpg","thumbLarge","150","150","image","photo","","","https://static01.nyt.com/images/2017/04/19/well/well_pog_ask/well_ask-articleInline-v3.png","Normal","190","190","image","photo","","","https://static01.nyt.com/images/2017/04/19/well/well_pog_ask/well_ask-mediumThreeByTwo210-v2.jpg","mediumThreeByTwo210","140","210","image","photo","","","https://static01.nyt.com/images/2017/04/19/well/well_pog_ask/well_ask-superJumbo-v3.png","superJumbo","600","603","image","photo","","","https://nyti.ms/2l2FJOb",FALSE,NA,NA,"Ears and Hearing","Hearing Aids","Law and Legislation","Labeling and Labels (Product)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","Arts","","Playboy to Feature Its First Transgender Playmate","Although Ines Rau will be the first transgender Playmate, Playboy has featured transgender women before. Cooper Hefner said the move fit with the brand’s philosophy.","https://www.nytimes.com/2017/10/19/arts/playboy-playmate-transgender.html","By MAYA SALAM","Article","2017-10-20T13:53:40-04:00","2017-10-19T20:49:20-04:00","2017-10-19T20:49:20-04:00","","","https://static01.nyt.com/images/2017/10/20/us/-20xp-transplaymate1/-20xp-transplaymate1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Ines Rau, a French model, is the November Playmate of the Month in Playboy’s November/December collector’s edition.","Derek Kettela","https://static01.nyt.com/images/2017/10/20/us/-20xp-transplaymate1/-20xp-transplaymate1-thumbLarge.jpg","thumbLarge","150","150","image","photo","Ines Rau, a French model, is the November Playmate of the Month in Playboy’s November/December collector’s edition.","Derek Kettela","https://static01.nyt.com/images/2017/10/20/us/-20xp-transplaymate1/-20xp-transplaymate1-articleInline.jpg","Normal","246","190","image","photo","Ines Rau, a French model, is the November Playmate of the Month in Playboy’s November/December collector’s edition.","Derek Kettela","https://static01.nyt.com/images/2017/10/20/us/-20xp-transplaymate1/-20xp-transplaymate1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Ines Rau, a French model, is the November Playmate of the Month in Playboy’s November/December collector’s edition.","Derek Kettela","https://static01.nyt.com/images/2017/10/20/us/-20xp-transplaymate1/-20xp-transplaymate1-superJumbo.jpg","superJumbo","1499","1156","image","photo","Ines Rau, a French model, is the November Playmate of the Month in Playboy’s November/December collector’s edition.","Derek Kettela","https://nyti.ms/2l1x4M0",FALSE,NA,NA,"Transgender and Transsexuals","Magazines",NA,NA,NA,NA,"Rau, Ines","Hefner, Cooper",NA,NA,NA,"Playboy Magazine","Hefner, Hugh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","Health","","Women Are More Likely to Address High Blood Pressure","Men and women develop hypertension at roughly the same rates, but men do not get it under control until much later in life, researchers find.","https://www.nytimes.com/2017/10/19/health/high-blood-pressure.html","By NICHOLAS BAKALAR","Article","2017-10-19T13:18:49-04:00","2017-10-19T13:18:49-04:00","2017-10-19T13:18:49-04:00","","","https://static01.nyt.com/images/2017/10/24/science/24SCI-NUMBER/24SCI-NUMBER-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","A new report shows that women are more apt than men to control high blood pressure. Among those aged 18 to 39, women had a 62.6 percent rate of controlled hypertension, compared with 15.5 percent among men.","John Moore/Getty Images","https://static01.nyt.com/images/2017/10/24/science/24SCI-NUMBER/24SCI-NUMBER-thumbLarge.jpg","thumbLarge","150","150","image","photo","A new report shows that women are more apt than men to control high blood pressure. Among those aged 18 to 39, women had a 62.6 percent rate of controlled hypertension, compared with 15.5 percent among men.","John Moore/Getty Images","https://static01.nyt.com/images/2017/10/24/science/24SCI-NUMBER/24SCI-NUMBER-articleInline.jpg","Normal","130","190","image","photo","A new report shows that women are more apt than men to control high blood pressure. Among those aged 18 to 39, women had a 62.6 percent rate of controlled hypertension, compared with 15.5 percent among men.","John Moore/Getty Images","https://static01.nyt.com/images/2017/10/24/science/24SCI-NUMBER/24SCI-NUMBER-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","A new report shows that women are more apt than men to control high blood pressure. Among those aged 18 to 39, women had a 62.6 percent rate of controlled hypertension, compared with 15.5 percent among men.","John Moore/Getty Images","https://static01.nyt.com/images/2017/10/24/science/24SCI-NUMBER/24SCI-NUMBER-superJumbo.jpg","superJumbo","1397","2048","image","photo","A new report shows that women are more apt than men to control high blood pressure. Among those aged 18 to 39, women had a 62.6 percent rate of controlled hypertension, compared with 15.5 percent among men.","John Moore/Getty Images","https://nyti.ms/2l2ncBl",FALSE,NA,NA,"Blood Pressure","Hypertension","Women and Girls","Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minorities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","Well","Family","Lack of Sleep Tied to Diabetes in Pregnancy","Women who slept less than 6.25 hours a night were almost three times as likely to have gestational diabetes as those who slept more.","https://www.nytimes.com/2017/10/18/well/family/lack-of-sleep-tied-to-diabetes-of-pregnancy.html","By NICHOLAS BAKALAR","Article","2017-10-18T15:41:45-04:00","2017-10-18T15:41:45-04:00","2017-10-18T15:41:45-04:00","","","https://static01.nyt.com/images/2016/09/15/well/well_pog_pregnancy/well_pog_pregnancy-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","","","https://static01.nyt.com/images/2016/09/15/well/well_pog_pregnancy/well_pog_pregnancy-thumbLarge.jpg","thumbLarge","150","150","image","photo","","","https://static01.nyt.com/images/2016/09/15/well/well_pog_pregnancy/well_pog_pregnancy-articleInline-v2.png","Normal","190","190","image","photo","","","https://static01.nyt.com/images/2016/09/15/well/well_pog_pregnancy/well_pog_pregnancy-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","","","https://static01.nyt.com/images/2016/09/15/well/well_pog_pregnancy/well_pog_pregnancy-superJumbo-v2.png","superJumbo","600","600","image","photo","","","https://nyti.ms/2zkNr8K",FALSE,NA,NA,"Diabetes","Sleep","Pregnancy and Childbirth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Health","","Anthem Joins With CVS to Start Its Own Pharmacy Business","The move is another shake-up in the pharmacy benefits manager industry, and deals a blow to Express Scripts.","https://www.nytimes.com/2017/10/18/health/anthem-cvs-pharmacy.html","By REED ABELSON","Article","2017-10-18T20:32:42-04:00","2017-10-18T12:52:43-04:00","2017-10-18T12:52:43-04:00","","","https://static01.nyt.com/images/2017/10/18/science/18ANTHEM/18ANTHEM-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Anthem said it will start the new pharmacy business in 2020 after its contract with Express Scripts expires.","Aaron P. Bernstein/Getty Images","https://static01.nyt.com/images/2017/10/18/science/18ANTHEM/18ANTHEM-thumbLarge.jpg","thumbLarge","150","150","image","photo","Anthem said it will start the new pharmacy business in 2020 after its contract with Express Scripts expires.","Aaron P. Bernstein/Getty Images","https://static01.nyt.com/images/2017/10/18/science/18ANTHEM/18ANTHEM-articleInline.jpg","Normal","127","190","image","photo","Anthem said it will start the new pharmacy business in 2020 after its contract with Express Scripts expires.","Aaron P. Bernstein/Getty Images","https://static01.nyt.com/images/2017/10/18/science/18ANTHEM/18ANTHEM-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Anthem said it will start the new pharmacy business in 2020 after its contract with Express Scripts expires.","Aaron P. Bernstein/Getty Images","https://static01.nyt.com/images/2017/10/18/science/18ANTHEM/18ANTHEM-superJumbo.jpg","superJumbo","1365","2048","image","photo","Anthem said it will start the new pharmacy business in 2020 after its contract with Express Scripts expires.","Aaron P. Bernstein/Getty Images","https://nyti.ms/2zi71m1",FALSE,NA,NA,"Drugs (Pharmaceuticals)","Health Insurance and Managed Care",NA,NA,"Anthem Inc","CVS Caremark Corporation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Express Scripts Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","The Upshot","","Trump’s Attack on Insurer ‘Gravy Train’ Could Actually Help a Lot of Consumers","State regulators and insurers have found a way to funnel more federal money into the markets and protect consumers from big rate hikes.","https://www.nytimes.com/2017/10/18/upshot/trumps-attack-on-insurer-gravy-train-could-actually-help-a-lot-of-consumers.html","By MARGOT SANGER-KATZ","Article","2017-10-18T05:30:17-04:00","2017-10-18T05:30:17-04:00","2017-10-18T05:30:17-04:00","","","https://static01.nyt.com/images/2017/10/18/us/18up-csr1-sub/18up-csr1-sub-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","President Trump signing an executive order on health care on Thursday. He later decided to cut off federal funding to insurance companies for subsidies that help people afford their health care.","Doug Mills/The New York Times","https://static01.nyt.com/images/2017/10/18/us/18up-csr1-sub/18up-csr1-sub-thumbLarge.jpg","thumbLarge","150","150","image","photo","President Trump signing an executive order on health care on Thursday. He later decided to cut off federal funding to insurance companies for subsidies that help people afford their health care.","Doug Mills/The New York Times","https://static01.nyt.com/images/2017/10/18/us/18up-csr1-sub/18up-csr1-sub-articleInline.jpg","Normal","107","190","image","photo","President Trump signing an executive order on health care on Thursday. He later decided to cut off federal funding to insurance companies for subsidies that help people afford their health care.","Doug Mills/The New York Times","https://static01.nyt.com/images/2017/10/18/us/18up-csr1-sub/18up-csr1-sub-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","President Trump signing an executive order on health care on Thursday. He later decided to cut off federal funding to insurance companies for subsidies that help people afford their health care.","Doug Mills/The New York Times","https://static01.nyt.com/images/2017/10/18/us/18up-csr1-sub/18up-csr1-sub-superJumbo.jpg","superJumbo","615","1095","image","photo","President Trump signing an executive order on health care on Thursday. He later decided to cut off federal funding to insurance companies for subsidies that help people afford their health care.","Doug Mills/The New York Times","https://nyti.ms/2kXNaGc",FALSE,NA,"Trump, Donald J","Health Insurance and Managed Care","Federal Aid (US)","United States Politics and Government","Patient Protection and Affordable Care Act (2010)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","Well","Live","A Diabetes Monitor That Spares the Fingers","The device helps me control my glucose without pricking my fingers to test drops of blood. I buy it overseas, but it’s coming to America.","https://www.nytimes.com/2017/10/17/well/live/a-diabetes-monitor-that-spares-the-fingers.html","By LARISSA ZIMBEROFF","Article","2017-10-17T14:06:23-04:00","2017-10-17T14:06:23-04:00","2017-10-17T14:06:23-04:00","","","https://static01.nyt.com/images/2017/09/28/well/type1-diabetes-libre/type1-diabetes-libre-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","The Libre device, about the size of a quarter, is placed on the arm and provides readouts of glucose readings.","Abbott","https://static01.nyt.com/images/2017/09/28/well/type1-diabetes-libre/type1-diabetes-libre-thumbLarge.jpg","thumbLarge","150","150","image","photo","The Libre device, about the size of a quarter, is placed on the arm and provides readouts of glucose readings.","Abbott","https://static01.nyt.com/images/2017/09/28/well/type1-diabetes-libre/type1-diabetes-libre-articleInline.jpg","Normal","127","190","image","photo","The Libre device, about the size of a quarter, is placed on the arm and provides readouts of glucose readings.","Abbott","https://static01.nyt.com/images/2017/09/28/well/type1-diabetes-libre/type1-diabetes-libre-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","The Libre device, about the size of a quarter, is placed on the arm and provides readouts of glucose readings.","Abbott","https://static01.nyt.com/images/2017/09/28/well/type1-diabetes-libre/type1-diabetes-libre-superJumbo.jpg","superJumbo","1365","2048","image","photo","The Libre device, about the size of a quarter, is placed on the arm and provides readouts of glucose readings.","Abbott","https://nyti.ms/2kYsGxk",FALSE,NA,NA,"Diabetes","Sensors","Health Insurance and Managed Care",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","U.S.","Politics","2 Senators Strike Deal on Health Subsidies That Trump Cut Off","A plan by Senators Lamar Alexander of Tennessee and Patty Murray of Washington to fund health subsidies for low-income consumers won President Trump’s backing.","https://www.nytimes.com/2017/10/17/us/politics/alexander-murray-deal-obamacare-subsidies.html","By THOMAS KAPLAN and ROBERT PEAR","Article","2017-10-17T20:41:52-04:00","2017-10-17T14:04:31-04:00","2017-10-17T14:04:31-04:00","","","https://static01.nyt.com/images/2017/10/18/us/18dc-health/18dc-health-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Senators Patty Murray and Lamar Alexander during a hearing of the Senate Committee on Health, Education, Labor and Pensions in Washington last month.","Pete Marovich for The New York Times","https://static01.nyt.com/images/2017/10/18/us/18dc-health/18dc-health-thumbLarge.jpg","thumbLarge","150","150","image","photo","Senators Patty Murray and Lamar Alexander during a hearing of the Senate Committee on Health, Education, Labor and Pensions in Washington last month.","Pete Marovich for The New York Times","https://static01.nyt.com/images/2017/10/18/us/18dc-health/18dc-health-articleInline.jpg","Normal","126","190","image","photo","Senators Patty Murray and Lamar Alexander during a hearing of the Senate Committee on Health, Education, Labor and Pensions in Washington last month.","Pete Marovich for The New York Times","https://static01.nyt.com/images/2017/10/18/us/18dc-health/18dc-health-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Senators Patty Murray and Lamar Alexander during a hearing of the Senate Committee on Health, Education, Labor and Pensions in Washington last month.","Pete Marovich for The New York Times","https://static01.nyt.com/images/2017/10/18/us/18dc-health/18dc-health-superJumbo.jpg","superJumbo","1363","2048","image","photo","Senators Patty Murray and Lamar Alexander during a hearing of the Senate Committee on Health, Education, Labor and Pensions in Washington last month.","Pete Marovich for The New York Times","https://nyti.ms/2zfIlui",FALSE,NA,NA,"Health Insurance and Managed Care","Patient Protection and Affordable Care Act (2010)","United States Politics and Government",NA,NA,NA,"Alexander, Lamar","Murray, Patty",NA,NA,NA,"Senate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","Technology","","Google Maps Pulls Calorie-Counting Feature After Criticism","The app told users how many calories they would burn by walking instead of driving, but was criticized as dangerous to people with eating disorders.","https://www.nytimes.com/2017/10/17/technology/google-maps-calories.html","By DANIEL VICTOR","Article","2017-10-17T19:13:16-04:00","2017-10-17T13:28:37-04:00","2017-10-17T13:28:37-04:00","","","https://static01.nyt.com/images/2017/10/19/business/19GOOGLE/18xp-google-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Google said the calorie feature would be removed from its map app.","Dado Ruvic/Reuters","https://static01.nyt.com/images/2017/10/19/business/19GOOGLE/18xp-google-thumbLarge.jpg","thumbLarge","150","150","image","photo","Google said the calorie feature would be removed from its map app.","Dado Ruvic/Reuters","https://static01.nyt.com/images/2017/10/19/business/19GOOGLE/18xp-google-articleInline.jpg","Normal","141","190","image","photo","Google said the calorie feature would be removed from its map app.","Dado Ruvic/Reuters","https://static01.nyt.com/images/2017/10/19/business/19GOOGLE/18xp-google-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Google said the calorie feature would be removed from its map app.","Dado Ruvic/Reuters","https://static01.nyt.com/images/2017/10/19/business/19GOOGLE/18xp-google-superJumbo.jpg","superJumbo","1586","2048","image","photo","Google said the calorie feature would be removed from its map app.","Dado Ruvic/Reuters","https://nyti.ms/2zh5wEH",FALSE,NA,NA,"Calories","Eating Disorders","Mental Health and Disorders","Weight","Google Maps","Google Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Health","","Patents for Restasis Are Invalidated, Opening Door to Generics","The ruling, by a federal judge in Texas, is a setback for Allergan, which had transferred the patents to a Mohawk tribe in order to protect them.","https://www.nytimes.com/2017/10/16/health/allergan-restasis-patent-.html","By KATIE THOMAS","Article","2017-10-16T20:32:57-04:00","2017-10-16T19:07:58-04:00","2017-10-16T19:07:58-04:00","","","https://static01.nyt.com/images/2017/10/17/science/17ALLERGAN/17ALLERGAN-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Four patents for the dry-eye treatment Restasis were invalidated by a federal judge on Monday. Allergan, the drug&rsquo;s manufacturer, had sought to protect the patents by transferring them to a Native American tribe in New York State.","Martin Shields/Alamy","https://static01.nyt.com/images/2017/10/17/science/17ALLERGAN/17ALLERGAN-thumbLarge.jpg","thumbLarge","150","150","image","photo","Four patents for the dry-eye treatment Restasis were invalidated by a federal judge on Monday. Allergan, the drug&rsquo;s manufacturer, had sought to protect the patents by transferring them to a Native American tribe in New York State.","Martin Shields/Alamy","https://static01.nyt.com/images/2017/10/17/science/17ALLERGAN/17ALLERGAN-articleInline.jpg","Normal","129","190","image","photo","Four patents for the dry-eye treatment Restasis were invalidated by a federal judge on Monday. Allergan, the drug&rsquo;s manufacturer, had sought to protect the patents by transferring them to a Native American tribe in New York State.","Martin Shields/Alamy","https://static01.nyt.com/images/2017/10/17/science/17ALLERGAN/17ALLERGAN-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Four patents for the dry-eye treatment Restasis were invalidated by a federal judge on Monday. Allergan, the drug&rsquo;s manufacturer, had sought to protect the patents by transferring them to a Native American tribe in New York State.","Martin Shields/Alamy","https://static01.nyt.com/images/2017/10/17/science/17ALLERGAN/17ALLERGAN-1508192606951-superJumbo.jpg","superJumbo","1360","2048","image","photo","Four patents for the dry-eye treatment Restasis were invalidated by a federal judge on Monday. Allergan, the drug&rsquo;s manufacturer, had sought to protect the patents by transferring them to a Native American tribe in New York State.","Martin Shields/Alamy","https://nyti.ms/2kSR4jA",FALSE,NA,NA,"Inventions and Patents","Drugs (Pharmaceuticals)","Generic Brands and Products",NA,"Allergan Inc","Patent and Trademark Office (US)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","Times Insider","","Covering Condoms: A Notoriously Slippery Subject","Condoms are almost guaranteed giggle-inducers, so serious reporting about a new line available in 60 different sizes was a bit of a balancing act.","https://www.nytimes.com/2017/10/16/insider/covering-condoms-a-notoriously-slippery-subject.html","By PAM BELLUCK","Article","2017-10-16T23:32:35-04:00","2017-10-16T18:59:06-04:00","2017-10-16T18:59:06-04:00","","","https://static01.nyt.com/images/2017/10/17/insider/17condominsider-image/17condominsider-image-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Size gauges used by the Boston-based Global Protection Corp. during production of their custom condoms.","Global Protection Corp.","https://static01.nyt.com/images/2017/10/17/insider/17condominsider-image/17condominsider-image-thumbLarge.jpg","thumbLarge","150","150","image","photo","Size gauges used by the Boston-based Global Protection Corp. during production of their custom condoms.","Global Protection Corp.","https://static01.nyt.com/images/2017/10/17/insider/17condominsider-image/17condominsider-image-articleInline.jpg","Normal","253","190","image","photo","Size gauges used by the Boston-based Global Protection Corp. during production of their custom condoms.","Global Protection Corp.","https://static01.nyt.com/images/2017/10/17/insider/17condominsider-image/17condominsider-image-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Size gauges used by the Boston-based Global Protection Corp. during production of their custom condoms.","Global Protection Corp.","https://static01.nyt.com/images/2017/10/17/insider/17condominsider-image/17condominsider-image-superJumbo.jpg","superJumbo","640","480","image","photo","Size gauges used by the Boston-based Global Protection Corp. during production of their custom condoms.","Global Protection Corp.","https://nyti.ms/2kT3GYe",FALSE,NA,NA,"Condoms","Penis","Sex","Sexually Transmitted Diseases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Custom-Fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","Well","Live","7 Million American Men Carry Cancer-Causing HPV","The incidence of mouth and throat cancers caused by the human papillomavirus in men has now surpassed the incidence of HPV-related cervical cancers in women.","https://www.nytimes.com/2017/10/16/well/live/7-million-american-men-carry-cancer-causing-hpv-virus.html","By NICHOLAS BAKALAR","Article","2017-10-18T18:52:29-04:00","2017-10-16T17:00:01-04:00","2017-10-16T17:00:01-04:00","","","https://static01.nyt.com/images/2016/09/14/well/well_pog_man/well_pog_man-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","","","https://static01.nyt.com/images/2016/09/14/well/well_pog_man/well_pog_man-thumbLarge.jpg","thumbLarge","150","150","image","photo","","","https://static01.nyt.com/images/2016/09/14/well/well_pog_man/well_pog_man-articleInline-v2.png","Normal","190","190","image","photo","","","https://static01.nyt.com/images/2016/09/14/well/well_pog_man/well_pog_man-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","","","https://static01.nyt.com/images/2016/09/14/well/well_pog_man/well_pog_man-superJumbo-v2.png","superJumbo","600","600","image","photo","","","https://nyti.ms/2zd1b5i",FALSE,NA,NA,"Head and Neck Cancer","Human Papillomavirus (HPV)","Sexually Transmitted Diseases","Throat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Smoking and Tobacco","Men and Boys","Vaccination and Immunization","Infections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
